x,y
431425.1348,3775193.927
431802.5162,3774932.657
431744.6904,3774868.902
435060.4849,3777468.18
435625.6239,3775012.98
435603.8014,3775006.155
433264.4133,3773668.739
435349.0131,3775613.46
435603.1269,3775014.072
434938.1492,3774884.598
431571.8956,3775262.586
435602.7787,3776747.112
435566.1909,3777614.34
433551.275,3774531.917
433576.4747,3774111.96
433576.9685,3774125.753
433871.5048,3771595.642
433230.5259,3775915.68
430855.1904,3775229.334
433533.2908,3776518.897
435600.381,3776798.845
434875.3792,3776137.715
434867.6684,3774901.101
434890.4057,3776136.924
435241.868,3776863.907
433201.9487,3773653.636
431466.4029,3775252.426
434946.0183,3776124.11
432672.1751,3775644.123
434873.1201,3774993.271
433717.8482,3773145.979
433709.6165,3773131.113
433079.5757,3774888.828
433106.2086,3772555.225
433574.0858,3773144.662
434927.0251000001,3776122.051
432954.6107,3775866.133
435433.4036,3775844.362
435549.3398,3775873.028
431737.5300000001,3774981.092
433565.7555000001,3775912.934
430856.4893,3775195.197
435537.2876,3775914.416
431480.9226,3775242.649
433775.2454,3776367.471
435931.6528,3777246.53
431844.6918,3774860.79
432153.6636000001,3774287.917
433408.6605,3771307.679
433421.2969,3775888.065
433194.9967,3775891.581
433564.4069,3775797.56
433609.9139,3773001.629
435180.0335,3776887.218
435423.9815,3775874.399
433989.7925,3774261.975
434610.24,3774247.428
434820.813,3774934.24
431745.7765,3774916.102
434899.9951,3776178.067
434598.6986,3777226.254
433410.4541,3771296.117
434875.0746,3774871.725
433499.4788,3775887.362
435624.7422,3775037.83
433498.957,3776513.466
433550.6582,3774512.472
432753.9653,3772725.938
431742.1761,3774889.1
431740.6796,3774929.518
431737.7953,3774992.255
434888.1419,3774867.43
435565.1601,3777675.239
433254.7812000001,3771344.641
434225.545,3774027.617
435196.1696,3776950.005
433491.7094,3776406.501
431458.3728,3775233.843
433438.9181,3776444.841
434581.931,3774231.358
431572.3149,3775302.532
431572.2317,3775256.797
432795.7431,3775622.947
434696.3214,3772214.539
433540.6117,3772781.34
433623.2624,3774081.0
433556.0274,3771592.396
431572.6045,3775295.416
435535.3782,3777675.285
435574.1044,3774657.016
431737.431,3774972.529
431756.725,3774895.97
435462.144,3778369.741
435645.8202,3775019.394
435396.8393,3775638.177
431394.7117,3775676.535
435927.1953,3777248.678
433181.234,3775891.154
435601.5449,3776737.119
432751.9052,3775627.444
433042.1204,3772190.407
434705.5894,3772199.304
432784.3007,3772743.01
433561.6042,3776397.724
433626.1499,3773112.855
433895.8476,3776409.356
433438.0849,3776513.532
435164.1192,3775844.055
435152.3423,3775845.4
431752.2651,3774974.227
432744.2384,3772934.928
434807.0428,3774938.24
433573.3334,3773108.583
433171.6455,3771335.173
432440.0388,3774254.465
432453.3209,3774253.132
433107.3926,3772610.282
433107.3384,3772563.634
432963.8236,3772624.403
433232.4824,3773653.719
435377.1573,3775616.102
433424.2469000001,3776431.889
431832.0189,3774863.351
435551.5542,3775874.528
431846.0885,3774973.555
432388.4513,3774280.477
432736.0285,3775628.088
433435.8926,3775861.508
433251.8368,3775890.697
430867.4722,3775242.709
435565.8827,3777644.755
433445.2882,3772593.45
435435.8238,3775913.54
432229.3642,3775641.924
435567.9274,3778245.113
435596.6259,3776805.301
435917.2524,3777978.287
431756.6497,3774884.304
431571.9325,3775183.858
434311.412,3774235.323
433163.9615,3773100.594
433460.74,3772793.318
434930.0418,3776220.986
434598.4058,3777235.873
432398.5674,3774255.687
433247.975,3773744.248
431300.2633,3775612.08
431480.5176,3775257.97
431845.2055,3774924.163
433870.0761,3771597.012
433041.2935000001,3774965.932
434497.5764,3777232.173
432051.3797,3773549.706
433620.0225,3773112.375
433689.2362,3773002.272
433628.0964,3774082.385
435441.8367,3778354.191
434598.5166,3777223.938
434226.217,3773934.894
435409.4566,3775617.849
433131.3673,3773749.214
433038.2827,3772172.269
431556.6722,3775271.987
432698.4214,3775643.959
433022.484,3772096.384
434888.3588,3774961.527
433689.4916,3773144.819
431299.463,3775643.974
435566.7155,3778231.048
435568.6994,3777626.545
432727.8934,3772914.539
432726.1175,3772877.685
431554.5286,3775256.221
435193.5885,3776984.972
433434.4793,3772792.56
434813.9622,3776107.33
434911.7974,3774887.13
433447.9778,3772794.121
435193.2997,3776909.524
435337.7609,3774390.697
432790.7571,3775624.451
431504.5943,3775218.028
433549.1913,3774424.785
435425.6751,3774236.307
433600.1311,3771346.111
433450.1464000001,3776409.076
433531.2426,3774496.804
432706.1483,3775628.236
432720.4716,3775628.318
432303.9244,3775645.134
434887.873,3774973.985
435565.9652,3777619.081
433577.5836,3774139.727
432802.9677,3772716.378
433605.3965,3773112.878
435917.2567000001,3777928.817
435596.8107,3776818.827
435545.6632,3777674.547
434861.1704,3776122.045
435468.9874,3775874.567
433529.0057,3776409.585
434926.2789,3774900.624
434598.6694,3777228.68
434225.175,3773974.595
434225.9084,3774013.606
434226.0268,3774005.446
433998.2319,3776437.541
430952.1206,3775222.498
433124.5649,3773653.731
433642.3735,3774079.516
431488.1577,3775285.088
433549.211,3774432.809
431556.5399,3775209.341
432239.9555,3775656.542
433907.7107,3776419.116
433474.7958,3772778.429
434666.7877,3772214.313
433507.8305,3776521.625
433903.3445,3774229.902
433472.1066,3771611.235
