val,long_UTM11,lat_UTM11
"1",431425.1348000000,3775193.9270000001
"1",431802.5162000000,3774932.6570000001
"1",431744.6904000000,3774868.9019999998
"1",435060.4849000000,3777468.1800000002
"1",435625.6239000000,3775012.9800000000
"1",435603.8014000000,3775006.1549999998
"1",433264.4133000000,3773668.7390000001
"1",435349.0131000000,3775613.4600000000
"1",435603.1269000000,3775014.0720000002
"1",434938.1492000000,3774884.5980000002
"1",431571.8956000000,3775262.5860000001
"1",435602.7787000000,3776747.1120000002
"1",435566.1909000000,3777614.3399999999
"1",433551.2750000000,3774531.9169999999
"1",433576.4747000000,3774111.9600000000
"1",433576.9685000000,3774125.7530000000
"1",433871.5048000000,3771595.6420000000
"1",433230.5259000000,3775915.6800000002
"1",430855.1904000000,3775229.3339999998
"1",433533.2908000000,3776518.8969999999
"1",435600.3810000000,3776798.8450000002
"1",434875.3792000000,3776137.7149999999
"1",434867.6684000000,3774901.1009999998
"1",434890.4057000000,3776136.9240000001
"1",435241.8680000000,3776863.9070000001
"1",433201.9487000000,3773653.6359999999
"1",431466.4029000000,3775252.4260000000
"1",434946.0183000000,3776124.1099999999
"1",432672.1751000000,3775644.1230000001
"1",434873.1201000000,3774993.2710000002
"1",433717.8482000000,3773145.9789999998
"1",433709.6165000000,3773131.1129999999
"1",433079.5757000000,3774888.8280000002
"1",433106.2086000000,3772555.2250000001
"1",433574.0858000000,3773144.6620000000
"1",434927.0251000001,3776122.0510000000
"1",432954.6107000000,3775866.1329999999
"1",435433.4036000000,3775844.3620000002
"1",435549.3398000000,3775873.0279999999
"1",431737.5300000001,3774981.0920000002
"1",433565.7555000001,3775912.9339999999
"1",430856.4893000000,3775195.1970000002
"1",435537.2876000000,3775914.4160000002
"1",431480.9226000000,3775242.6490000002
"1",433775.2454000000,3776367.4709999999
"1",435931.6528000000,3777246.5299999998
"1",431844.6918000000,3774860.7900000000
"1",432153.6636000001,3774287.9169999999
"1",433408.6605000000,3771307.6790000000
