x,y
397302.585453043,3737482.4090422736
392683.7252935153,3737947.6981667634
399543.5463283637,3742008.772552751
388972.0456096742,3742915.403829157
389587.4982169011,3749139.792420808
391745.1262105003,3738371.08242978
395377.2543997627,3745513.6138115553
388648.9447244552,3749397.828255858
391730.8734505765,3738391.556223564
394348.7441244981,3736520.199374327
396496.9115515641,3742158.6291825343
389479.9425805164,3737871.975094637
390515.7982817476,3745460.362805655
400057.0557116471,3742874.209646612
399981.056537763,3741798.8577838778
398366.2860510613,3738693.6044376898
392581.5319803569,3738009.329166511
395300.4761354444,3741521.6052149674
392494.0385921916,3741468.782863303
397871.5931439545,3743066.718582937
397318.6437498539,3741562.7145303073
396023.8682711672,3735845.271653012
389123.1620029536,3741984.98441256
390465.3283278456,3745514.8845904055
399172.342936599,3742826.042280885
392953.3800223205,3748088.6477415264
396003.443365364,3735820.995397271
399634.7200302815,3742006.55914682
396447.3066218662,3742080.6773231807
389070.1048200549,3746013.1835883753
393590.9129435891,3747458.576957447
395223.8510521462,3742863.9348973967
399166.8089471574,3742820.9762975215
390752.0365855563,3745495.6784058106
397202.3867419917,3737519.7445253353
388710.6448197763,3749086.9125339016
398301.9033360998,3738736.0231598928
399495.1320393206,3741922.303815971
395232.5098731385,3741436.445735398
395342.9546172594,3738626.149639202
388071.4792364602,3743036.416497829
394395.2661350846,3744513.0507430886
387992.6781097286,3742976.354823365
396626.2835606888,3741055.095905907
388722.5573688178,3743951.355710149
388617.5220182162,3741671.577411809
389394.2624864666,3744141.880554399
400071.8201953786,3742907.209105984
391403.328351755,3739267.007425764
388954.0134723813,3739076.840184408
393612.2152468497,3747543.8208811134
397373.8072216879,3742108.676301465
395079.7274415887,3736014.926219087
393478.4080285592,3748117.904816275
392542.6034788786,3741425.1633490594
393009.2368282709,3748102.880203981
395390.8908753362,3745516.6006233417
393398.5584728505,3737567.3999744174
387493.6163003868,3739760.988295438
395449.9919003746,3738594.427203252
392581.4072946231,3736722.215664453
391958.7596690854,3736643.648296537
401100.4158726238,3742904.9910748256
388005.384532783,3742976.300895984
389199.8967130932,3748535.650230326
396451.0133971129,3739553.7273746654
394265.5338212634,3736521.672409587
394396.522206462,3744600.993538211
396625.7230022681,3740967.6054512016
391704.4636461163,3738459.666773405
390992.0635632221,3743974.730160967
388535.8247324787,3740693.7339285393
393537.4533072568,3747555.2110269447
393695.8103824391,3740343.0228820974
399511.9396369834,3741996.669349785
387480.2617120423,3739789.4193189926
389326.3379100653,3748614.3349318826
390490.6650117784,3745554.424135997
396676.6594096985,3741027.4332426256
