OBJECTID,id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,lat_NAD83,long_NAD83
"2674930","2549373",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,90803.00000000000,Long Beach,Los Angeles,Southern California Coast,3737482.4090000000,397302.5854000000
"953194","2537099",,,WCA,Cupaniopsis anacardioides,Sapindaceae,Cupaniopsis,Australia,40.00000000000,Oval,Evergreen,Moderate,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,90804.00000000000,Long Beach,Los Angeles,Southern California Coast,3737947.6979999999,392683.7252000000
"1646078","5538027",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,13.00000000000,18.00000000000,60.00000000000,0.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3742008.7719999999,399543.5463000000
"1646927","2510007",,,WCA,Jacaranda mimosifolia,Bignoniaceae,Jacaranda,South America,50.00000000000,"Oval, Rounded or Umbrella",Deciduous to Partly Deciduous,Moderately Low,Moderately Short,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90806.00000000000,Long Beach,Los Angeles,Southern California Coast,3742915.4029999999,388972.0456000000
"1480610","2510645",,,WCA,Quercus ilex,Fagaceae,Quercus,Europe and North Africa,60.00000000000,Rounded or Umbrella,Evergreen,Dense,Very Long,25.00000000000,30.00000000000,45.00000000000,60.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3749139.7919999999,389587.4982000000
"3823354","2535107",,,WCA,Ficus benjamina,Moraceae,Ficus,Asia,66.00000000000,Oval,Evergreen,Moderately Dense,Average / Moderately Short,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,90813.00000000000,Long Beach,Los Angeles,Southern California Coast,3738371.0819999999,391745.1262000000
"2130483","2531143",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3745513.6129999999,395377.2543000000
"1072718","2539610",,,WCA,Koelreuteria bipinnata,Sapindaceae,Koelreuteria,Asia,40.00000000000,"Rounded, Umbrella or Vase",Deciduous,Moderate,Average,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3749397.8280000002,388648.9447000000
"3945105","2535108",,,WCA,Lophostemon confertus,Myrtaceae,Lophostemon,Australia,50.00000000000,Oval or Rounded,Evergreen,Moderately Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,90813.00000000000,Long Beach,Los Angeles,Southern California Coast,3738391.5559999999,391730.8734000000
"906973","2541879",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,13.00000000000,18.00000000000,60.00000000000,0.00000000000,,,,90803.00000000000,Long Beach,Los Angeles,Southern California Coast,3736520.1990000000,394348.7441000000
