x,y
463064.6461,3759073.565
464360.4625,3755522.044
455912.3738,3750279.181
462940.6645,3759138.891
456011.7046,3757371.482
455997.3759,3757356.149
469818.6996,3760553.275
470519.4226,3750339.085
459410.3416,3754009.051
457898.3902,3751859.478
455932.1113,3750260.615
463409.4331,3757355.376
468353.3818,3760087.945
453623.03,3750831.514
462830.2784,3757843.038
461958.002,3756938.761
465686.5868,3758867.219
469819.5392,3760618.593
461935.8425,3756869.345
469020.3848,3760006.725
455918.5405,3757372.899
468128.878,3748888.214
463867.3376,3757904.298
464166.7658,3755276.877
465671.5171,3758917.238
464412.6808,3755447.706
462859.2837,3757902.842
462032.1807,3756958.51
453631.5922,3750837.354
467904.3506,3748675.516
468300.8473,3762730.776
463002.4467,3759095.624
461357.0426,3756169.108
455239.9163,3752399.144
456828.728,3755551.989
455848.8728,3750387.873
468326.2945,3762725.113
455872.692,3754251.562
459468.539,3754056.423
456811.5116,3755551.844
455886.6855,3757357.813
455964.0471,3757356.817
466453.852,3763689.939
466383.5873,3757180.807
457614.0125,3753000.052
466477.3013,3759103.196
457572.638,3751791.387
467132.112,3756554.778
462046.797,3756938.137
467332.2656,3758862.802
455906.3788,3750382.111
465904.52,3756938.174
467903.668,3748766.417
462939.0574,3759157.161
461989.2489,3756898.37
466391.363,3757216.628
455600.602,3752282.991
456010.8123,3757355.418
461520.1899,3757793.833
469633.3994,3751820.038
462504.3891,3755262.168
470907.7782,3749037.714
465424.2911,3763139.372
459435.4893,3754025.611
462035.9027,3756939.104
462025.7936,3756939.053
467903.4426,3748792.803
464341.8475,3755561.59
467885.653,3748733.644
467833.6636,3748696.363
464940.9277,3752762.921
457665.6604,3751865.898
470907.2177,3749120.46
464907.4765,3759816.806
463872.1428,3757880.669
462997.0994,3759000.512
456813.2321,3755606.563
462960.9412,3759000.532
467317.7227,3758960.564
467365.3731,3758870.693
457612.3524,3752984.814
454256.3148,3755196.261
464153.5358,3755324.857
457557.6659,3751780.208
459095.5696,3752162.508
456009.0451,3757355.039
455704.532,3751025.845
461521.885,3757816.997
454209.9371,3755163.799
466355.5961,3763567.692
464161.9079,3755315.493
464068.4346,3755424.725
461977.9663,3756938.894
462013.4714,3756916.114
468325.2553,3762721.81
457702.052,3757745.731
458751.5396,3755203.528
467411.7924,3758812.335
455948.9158,3757372.572
455980.6169,3757357.533
469620.4633,3751804.558
464694.2424,3760218.206
464676.8546,3760334.042
454311.9986,3755223.162
461365.884,3756174.792
455298.8361,3756042.543
466582.533,3759100.61
464902.1407,3759818.431
455980.6589,3757371.666
463865.4555,3757973.04
467429.1618,3758978.427
465674.1944,3758869.421
462014.255,3756939.235
457914.3802,3751841.212
469621.6148,3751860.226
466383.3874,3757223.328
472554.9148,3750894.939
461980.9626,3756899.642
455902.1662,3750271.397
455949.2524,3757356.323
457922.6617,3751846.968
467335.4275,3758972.446
465037.6243,3759731.292
467360.1113,3758938.746
454310.956,3755217.556
462856.4891,3757844.541
457613.2165,3753068.856
455902.8888,3750387.213
462848.2422,3757903.677
463052.2352,3759096.283
469817.7125,3760515.573
465397.5429,3763133.722
463904.2083,3757852.343
461302.6859,3756151.062
466869.1663,3755510.421
454190.9577,3755157.935
465687.0654,3758894.043
465619.0357,3758947.131
465656.4619,3758837.83
469818.0442,3760632.913
465666.5588,3758920.084
463063.0432,3759072.883
457951.7459,3751865.969
458826.0615,3755288.26
464178.2839,3755410.797
467139.7874,3756551.1
455907.9362,3750275.385
470604.207,3750250.317
466139.7585,3759650.514
455873.5357,3750288.78
466448.6302,3763668.307
467112.349,3764178.193
467019.9847,3756524.194
463000.8739,3759097.357
463038.4763,3759093.398
465362.1129,3763093.348
466126.0381,3759658.061
455874.974,3750329.682
455871.3566,3750337.235
