id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,POINT_X,POINT_Y
"5729593",,,WCA,Trachycarpus fortunei,Arecaceae,Trachycarpus,Asia,30.00000000000,Fan Palm,Evergreen,Dense,Average,0.00000000000,6.00000000000,15.00000000000,30.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,463064.64616499998,3759073.56533000013
"5227618",,,WCA,Melia azedarach,Meliaceae,Melia,Asia,30.00000000000,Rounded or Umbrella,Deciduous,Dense,Average / Moderately Short,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,464360.46259700001,3755522.04497999977
"5416127",,,WCA,Pyrus calleryana,Rosaceae,Pyrus,Asia,40.00000000000,Conical or Oval,Deciduous,Moderately Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,455912.37386900000,3750279.18108000001
"5723026",,,WCA,Fraxinus velutina,Oleaceae,Fraxinus,North America,50.00000000000,Oval or Umbrella,Deciduous,Moderate,Average,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462940.66456499998,3759138.89168999996
"5706497",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,456011.70463699999,3757371.48268999998
"5706682",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,13.00000000000,18.00000000000,45.00000000000,60.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,455997.37596199999,3757356.14960000012
"5237400",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,469818.69962299999,3760553.27588000009
"5760204",,,WCA,Syagrus romanzoffiana,Arecaceae,Syagrus,South America,50.00000000000,Feather Palm,Evergreen,Low to Moderately Low,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92508.00000000000,Riverside,Riverside,Inland Empire,470519.42264399998,3750339.08588000014
"5244359",,,WCA,Syagrus romanzoffiana,Arecaceae,Syagrus,South America,50.00000000000,Feather Palm,Evergreen,Low to Moderately Low,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,459410.34165299998,3754009.05110999988
"5781892",,,WCA,Washingtonia filifera,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,457898.39022300002,3751859.47894999990
"5254201",,,WCA,Citrus limon,Rutaceae,Citrus,Asia,25.00000000000,"Rounded, Umbrella or Vase",Evergreen,Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,455932.11136200000,3750260.61524999980
"5228746",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,463409.43315499998,3757355.37614999991
"5700926",,,WCA,Washingtonia filifera,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,25.00000000000,30.00000000000,15.00000000000,30.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,468353.38183899998,3760087.94549999991
"5782698",,,WCA,Eucalyptus polyanthemos,Myrtaceae,Eucalyptus,Australia,66.00000000000,Oval,Evergreen,Moderate,Average,13.00000000000,18.00000000000,45.00000000000,60.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,453623.03008699999,3750831.51496999990
"5246292",,,WCA,Pinus pinea,Pinaceae,Pinus,Europe and North Africa,66.00000000000,"Conical, Rounded or Umbrella",Evergreen,Dense,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,462830.27844600001,3757843.03829000005
"4196472",,,WCA,Lagerstroemia,Lythraceae,Lagerstroemia,,0.00000000000,,,,,0.00000000000,6.00000000000,1.00000000000,15.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,461958.00209000002,3756938.76183999982
"5776851",,,WCA,Ficus microcarpa,Moraceae,Ficus,Asia,25.00000000000,Oval or Rounded,Evergreen,Dense,Average,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,465686.58688299998,3758867.21920000017
"5237399",,,WCA,Ulmus parvifolia,Ulmaceae,Ulmus,Asia,45.00000000000,"Oval, Rounded or Umbrella",Evergreen to Partly Deciduous,Moderate,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,469819.53926300001,3760618.59346000012
"4196511",,,WCA,Ulmus parvifolia,Ulmaceae,Ulmus,Asia,45.00000000000,"Oval, Rounded or Umbrella",Evergreen to Partly Deciduous,Moderate,Average,19.00000000000,24.00000000000,30.00000000000,45.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,461935.84258100000,3756869.34544999991
"5700946",,,WCA,Fraxinus velutina,Oleaceae,Fraxinus,North America,50.00000000000,Oval or Umbrella,Deciduous,Moderate,Average,19.00000000000,24.00000000000,30.00000000000,45.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,469020.38484399999,3760006.72537000012
"5706502",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,455918.54054800002,3757372.89994999999
"5788320",,,WCA,Quercus virginiana,Fagaceae,Quercus,North America,66.00000000000,"Oval, Rounded or Umbrella",Evergreen to Partly Deciduous,Moderate,Very Long,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,468128.87802000000,3748888.21447000001
"5713373",,,WCA,Afrocarpus falcatus,Podocarpaceae,Afrocarpus,Africa,65.00000000000,Oval or Rounded,Evergreen,Moderately Dense,Very Long,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,463867.33768200001,3757904.29844000004
"5719871",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,464166.76585500001,3755276.87778000021
"5721015",,,WCA,Lophostemon confertus,Myrtaceae,Lophostemon,Australia,50.00000000000,Oval or Rounded,Evergreen,Moderately Dense,Average,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,465671.51719599997,3758917.23822999978
"5223494",,,WCA,Cupressus sempervirens,Cupressaceae,Cupressus,Europe and Asia,60.00000000000,Columnar,Evergreen,Dense,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,464412.68086700002,3755447.70680999989
"5711621",,,WCA,Liquidambar styraciflua,Altingiaceae,Liquidambar,North America,66.00000000000,Conical,Deciduous,Moderate,Very Long,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,462859.28371699998,3757902.84235000005
"4196462",,,WCA,Melaleuca quinquenervia,Myrtaceae,Melaleuca,Australia,40.00000000000,Oval or Rounded,Evergreen,Moderate to Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462032.18072000000,3756958.51030999981
"5782697",,,WCA,Eucalyptus polyanthemos,Myrtaceae,Eucalyptus,Australia,66.00000000000,Oval,Evergreen,Moderate,Average,19.00000000000,24.00000000000,60.00000000000,0.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,453631.59226499998,3750837.35404000012
"5789031",,,WCA,Robinia pseudoacacia,Fabaceae,Robinia,North America,50.00000000000,Oval,Deciduous,Low to Moderately Low,,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,467904.35061099997,3748675.51682000002
"5242647",,,WCA,Ficus elastica,Moraceae,Ficus,Asia,45.00000000000,Oval,Evergreen,Moderate to Moderately Dense,,19.00000000000,24.00000000000,30.00000000000,45.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,468300.84736299998,3762730.77627999987
