x,y
362765.4104,3764965.453
361063.4626,3765727.837
362985.1924,3765955.092
363102.8775,3765725.783
362006.0748,3766173.396
362010.5597,3766169.654
361979.4524,3766202.625
361959.2642,3766199.759
362740.3836,3764872.097
362779.1745,3767511.143
361833.6674,3767899.21
361521.077,3765243.213
363390.5686,3764226.008
362175.6797,3764754.596
362180.4055,3764749.698
364783.5797,3764975.247
364118.4076,3764329.833
362002.0106,3766157.142
363884.3052,3763387.752
361991.6232,3766164.978
361964.7127,3766194.098
362847.3909,3767792.215
363766.5483,3766999.648
363815.7102,3767048.097
361903.9837,3766813.253
364299.9518,3767485.593
364278.2755,3767463.079
364268.5051,3767453.466
364254.2887,3767440.799
361415.303,3766269.309
364318.2782,3763609.321
364975.0919,3764545.523
363725.0271,3764185.257
363823.1931,3764155.641
362653.8717,3767109.125
362302.5157,3768060.954
363710.3977,3764194.558
363888.2962,3764806.043
363607.952,3764775.142
363632.0228,3764718.778
363635.4903,3764741.376
363181.2634,3763899.935
361811.8843,3767899.183
361822.5034,3767911.681
363147.8395,3763887.873
364393.0465,3765321.849
364001.8012,3767203.546
363981.1706,3767200.98
363947.7034,3767171.797
363992.6787,3767212.225
363956.0702,3767179.578
363966.3165,3767168.215
363940.5444,3767165.944
363971.3725,3767191.904
363931.0318,3767156.218
362589.3605,3765294.755
362184.2303,3765248.646
362170.4987,3765265.429
362176.8607,3765260.284
364942.9532,3766773.699
363230.7438,3764705.541
363839.1698,3767045.952
363985.4013,3767187.15
363947.6467,3767150.862
363994.8799,3767196.419
363958.165,3767161.663
363934.3998,3767141.865
363849.4666,3767080.899
363903.07,3767129.138
363519.6618,3767747.499
361960.614,3766755.759
362665.3516,3767119.002
361969.3954,3765280.656
363173.489,3763753.343
363098.8388,3763843.307
363128.8922,3763806.628
363164.9066,3763763.945
363107.5368,3763831.03
363803.8759,3767037.336
363826.327,3767057.428
363772.9481,3766987.584
363790.2435,3767002.433
363780.353,3767013.608
363784.5969,3766997.827
363821.9504,3767030.157
363800.5715,3767009.522
363809.0598,3767019.848
362972.4789,3766040.859
362960.8026,3766055.984
364266.8917,3767471.221
364253.3914,3767460.504
364310.4309,3767516.264
364243.3403,3767451.865
364298.2277,3767504.707
364289.7559,3767495.633
363834.7661,3764168.819
361949.5229,3765171.504
362247.3688,3766096.527
362238.0109,3766105.677
362266.9812,3766074.513
362282.2883,3766059.364
362260.7481,3766081.682
362284.7099,3766056.056
363221.8479,3763786.727
363117.902,3763822.098
362298.4502,3768065.298
363128.6284,3763829.779
363172.8069,3763772.839
363155.0908,3763797.148
363118.7084,3763842.081
363164.7017,3763787.417
363109.0457,3763854.805
363147.8869,3763806.473
363136.5068,3763820.996
363092.8541,3763874.937
362265.3689,3766054.144
362196.9179,3766126.23
362187.1479,3766137.27
362227.9899,3766092.84
362247.9532,3766072.668
362171.2501,3766153.669
362254.0919,3766066.397
362176.4016,3766145.87
362237.8034,3766081.866
361731.8056,3766645.274
362214.6004,3766130.737
362208.0755,3766141.16
362197.5874,3766148.314
361845.5077,3766521.953
361828.6317,3766539.208
361748.0976,3766599.485
361738.3853,3766610.522
361758.6958,3766590.425
361708.5185,3766641.769
361728.4559,3766620.913
361718.4123,3766630.573
361712.9995,3766636.028
361545.6944,3766813.965
361709.5848,3766665.878
361769.6693,3766604.424
361761.9979,3766611.545
363122.6373,3765705.525
364914.5982,3764972.394
364922.8659,3764960.339
362280.8688,3768083.882
362811.3547,3767814.351
362848.41,3767771.883
362833.621,3767789.41
362864.6708,3767755.654
362874.8856,3767746.71
362176.1579,3768191.886
362168.8799,3768199.64
362744.6118,3767573.734
362756.9987,3767561.133
362775.7293,3767540.038
362770.5576,3767544.585
362252.2609,3768111.825
362289.1139,3768076.297
362262.5886,3768102.112
362215.2055,3768150.765
362192.1817,3768175.943
362226.5892,3768137.807
362867.3047,3767769.834
362881.6486,3767757.892
362806.6573,3767838.27
362820.9249,3767823.374
362785.2847,3767860.908
362310.3404,3768051.473
362282.0233,3768060.73
364743.6446,3766986.034
364727.5844,3767001.666
361391.3098,3765937.153
361288.0134,3766046.03
361547.9936,3765213.218
361523.4662,3765238.978
361531.7401,3765230.093
361527.1276,3765234.858
361534.7758,3765225.948
362751.4354,3767585.208
362755.727,3767580.956
362778.6022,3767555.943
362766.6199,3767567.255
362219.6124,3768128.122
362214.7517,3768134.19
362250.7444,3768098.183
362233.2509,3768114.059
362226.4525,3768120.777
362193.5986,3768154.771
362241.115,3768105.936
362271.2512,3768072.638
362175.6315,3768176.089
362276.3674,3768067.798
362206.1957,3768143.055
364978.2879,3766756.346
364976.2523,3766738.478
364973.9696,3766763.122
364935.4325,3766783.99
364947.1908,3766791.215
364952.7008,3766785.437
364951.0267,3766765.568
364957.8038,3766779.979
364757.767,3766992.341
364726.3159,3767023.168
364741.8911,3767006.441
364233.8296,3764429.6
363921.5326,3764685.23
364164.5749,3764390.538
363934.7863,3764670.641
363948.3363,3763427.735
363931.0286,3763416.779
362821.8311,3766958.451
362809.6489,3766948.581
362799.4593,3766938.475
363066.0234,3766055.456
361435.0394,3766752.238
361501.8981,3766685.946
361477.4321,3766708.68
361465.4033,3766718.944
361447.1922,3766740.558
361490.4451,3766696.04
361455.4369,3766730.16
361425.92,3766762.708
361405.5608,3766785.229
361414.396,3766772.978
361163.3196,3767067.389
361097.8972,3767108.881
361118.4872,3767087.79
361108.8654,3767099.38
361430.8647,3766784.765
361447.4193,3766767.309
361481.1396,3766729.394
361502.4736,3766706.823
361438.7286,3766776.579
361491.0492,3766719.752
361173.3072,3767032.63
361140.6895,3767066.166
361192.0866,3767010.721
361159.4397,3767045.039
361149.4775,3767055.792
361127.7675,3767075.534
361214.5696,3766988.52
361224.5671,3766977.392
361182.0427,3767021.277
361203.6681,3767000.145
361535.6425,3766669.993
361234.6884,3766987.667
361132.9632,3767101.484
361193.7818,3767036.567
361119.1267,3767115.647
361153.5111,3767079.265
361111.6815,3767123.437
361204.9304,3767023.417
361144.5698,3767090.326
361224.8289,3767001.37
361214.845,3767011.317
361996.4948,3765118.865
362141.0746,3764943.543
362157.0642,3764927.813
361885.533,3765238.814
362149.4839,3764934.166
361998.8073,3765095.525
362145.3934,3764964.714
361952.6848,3765002.595
362004.066,3765029.812
365154.9551,3766363.04
362201.2041,3764727.23
363250.8012,3764340.549
362772.7301,3765718.766
362260.4758,3766737.446
362629.8357,3767065.208
362311.3941,3766764.225
363178.8785,3765596.412
363184.0899,3765601.58
362770.8333,3767472.0
362776.6605,3767465.231
362194.464,3766104.519
361825.2714,3765168.919
362792.7099,3767766.649
362799.492,3767773.206
363133.5059,3765666.255
363872.9088,3764717.153
362995.9716,3767587.745
363057.6246,3767544.253
364136.376,3764218.549
363107.1556,3763880.828
361737.142,3767171.394
364452.9989,3765371.973
364445.1412,3765368.171
364439.3556,3765364.185
364400.9341,3765327.904
363879.9793,3765942.909
365695.0528,3765279.047
362644.6704,3763676.848
360623.8648,3766330.513
362639.237,3763683.667
360704.351,3766632.627
360981.163,3765645.542
362636.439,3763687.053
365570.0717,3766053.33
362631.6117,3763693.201
360697.3695,3766625.358
363894.9662,3765987.368
360667.7825,3766595.731
360652.8708,3766580.322
363874.3419,3765924.016
360596.2263,3766354.91
365665.0779,3765258.982
365683.1301,3765270.058
360733.5752,3766663.789
360586.6566,3766358.006
361672.0956,3765592.444
360711.3333,3766645.214
365668.7995,3766110.524
365660.0897,3766105.527
365580.8889,3766059.374
360611.0172,3766342.054
365591.956,3766065.81
360615.8782,3766333.3
363866.1434,3765903.124
363905.7279,3766005.537
361024.3074,3765603.61
360638.3457,3766562.869
363887.8435,3765966.464
360600.406,3766345.68
360685.2703,3766613.066
365672.4426,3765263.63
364232.6257,3766648.173
361866.6539,3765230.72
364652.4786,3766982.987
361767.5424,3765185.27
364227.464,3766639.494
362014.7616,3764902.245
364749.0851,3767078.834
361962.2687,3765126.878
364031.3354,3766862.514
364011.8872,3766882.96
361742.462,3765210.266
361833.1667,3765267.61
361895.9209,3765048.861
364040.9265,3766852.622
364718.1942,3767049.488
361780.9777,3765148.559
364692.2876,3767022.649
361950.7833,3765141.179
362050.0329,3764886.473
361943.9913,3765151.682
362290.7771,3764783.985
362064.1435,3764851.614
361914.162,3765004.287
364768.4197,3767097.517
362003.3965,3765086.116
364243.2503,3766638.503
361907.3529,3765191.046
361723.31,3765208.999
361785.9562,3765166.261
364021.5863,3766850.945
361910.7923,3765033.742
361826.7058,3765281.099
361862.6117,3765255.034
362304.2821,3764795.002
362241.3046,3765721.589
362314.2713,3765672.17
362617.9265,3767279.426
362722.95,3765241.12
362569.6981,3765403.542
362194.1176,3765596.728
361070.6123,3765609.298
362186.9483,3765628.645
362642.8299,3765941.628
362213.3941,3765425.033
362310.6423,3765602.119
362289.9298,3765608.694
362778.347,3765687.36
362677.4381,3765260.366
362101.6535,3764859.015
362642.4902,3765148.54
362721.6077,3765597.092
362657.3048,3765281.121
361381.0933,3765905.707
362182.3301,3765606.655
362702.1688,3765262.324
362631.8091,3765133.981
362680.6418,3765954.31
362556.881,3765386.851
362095.1136,3764852.852
362636.2865,3765934.945
362252.8981,3765738.714
362271.1543,3765365.335
362717.2995,3765602.937
362315.8576,3765606.227
362215.8901,3765597.072
362612.3123,3765357.155
362316.9753,3765644.232
362686.1008,3765251.65
362682.8364,3765283.914
362633.4768,3765909.602
362516.4461,3765432.817
362218.3886,3765744.595
362137.9023,3764894.586
362231.6466,3765408.517
362566.0658,3765379.124
362674.6604,3765647.189
362665.441,3765963.013
362209.7552,3765604.35
362495.251,3765303.52
362269.1734,3765692.348
361081.3734,3765595.35
362689.7986,3765276.395
362487.2785,3765311.474
361697.5143,3765633.424
362284.3288,3765704.466
362657.1189,3765955.455
362294.4799,3765665.611
362674.6344,3765263.501
362228.9533,3765735.092
362526.2956,3765420.785
362574.5393,3765396.619
362696.3558,3765239.474
362300.9875,3765618.909
362144.8075,3764900.35
362668.8425,3765943.971
362476.9371,3765295.679
361057.1846,3765599.425
362254.139,3765705.764
362719.0061,3765245.337
362174.3087,3765616.586
362677.4666,3765616.892
362588.6813,3765382.548
362735.9607,3765226.665
362649.6549,3765947.096
362597.4756,3765345.839
362751.5014,3765714.272
362205.1916,3765434.851
362305.8714,3765597.448
362551.8417,3765421.35
362667.8148,3765271.711
362109.0015,3764865.226
362660.036,3765936.076
362535.7139,3765411.741
362273.3108,3765716.185
362587.8643,3765358.22
362262.5318,3765343.356
362310.5437,3765628.537
362197.0333,3765617.157
362290.8764,3765669.312
362290.9799,3765342.987
