Tree_ID,Date_Modif,Species_ID,Name_Botan,Name_Commo,Height_Gro,Height_Min,Height_Max,DBH_Group,DBH_Min,DBH_Max,District,Address,Street,On_Address,On_Street,Tree_Numbe,Location_D,Census_Tra,california,long_NAD83,lat_nad83
14376164,2/25/2021 15:45,29,Cupaniopsis anacardioides,Carrotwood,2,15,30,2,7,12,17,1640,9TH ST,1640,9TH ST,7,Front,14,364,362765.4104,3764965.453
10921981,2/9/2021 10:31,24,Cinnamomum camphora,Camphor Tree,3,30,45,5,25,30,9,832,3RD ST,832,3RD ST,1,Front,6,365,361063.4626,3765727.837
10933394,1/27/2021 15:16,16,Eriobotrya deflexa,Bronze Loquat,1,1,15,1,0,6,12,1502,SANTA MONICA BL,1502,SANTA MONICA BL,5,Front,12,364,362985.1924,3765955.092
11464390,1/27/2021 15:16,800,Corymbia papuana,Ghost Gum,1,1,15,1,0,6,12,1511,15TH ST,1511,15TH ST,2,Front,12,364,363102.8775,3765725.783
10920263,1/27/2021 6:57,40,Cedrus deodara,Deodar Cedar,3,30,45,4,19,24,8,1011,11TH ST,1011,11TH ST,1,Front,7,365,362006.0748,3766173.396
10920264,1/27/2021 6:57,40,Cedrus deodara,Deodar Cedar,3,30,45,3,13,18,8,1011,11TH ST,1011,11TH ST,2,Front,7,365,362010.5597,3766169.654
10920289,1/27/2021 6:57,2,Pinus halepensis,Aleppo Pine,2,15,30,3,13,18,8,957,11TH ST,957,11TH ST,1,Front,4,365,361979.4524,3766202.625
10920260,1/27/2021 6:57,25,Phoenix canariensis,Canary Island Date Palm,3,30,45,4,19,24,8,954,11TH ST,954,11TH ST,2,Front,4,365,361959.2642,3766199.759
10942402,1/26/2021 14:13,346,Eucalyptus nicholii,Nichols Willow Leafed Peppermint,2,15,30,1,0,6,18,1661,LINCOLN BL,1661,LINCOLN BL,1,Front,14,364,362740.3836,3764872.097
10930788,1/26/2021 14:11,266,Fraxinus angustifolia oxycarpa,Raywood Ash,1,1,15,1,0,6,4,754,23RD ST,2235,MONTANA AV,2,Side,2,366,362779.1745,3767511.143
10931694,1/26/2021 14:11,40,Cedrus deodara,Deodar Cedar,1,1,15,1,0,6,4,2001,GEORGINA AV,265,20TH ST,1,Side,2,366,361833.6674,3767899.21
10922017,1/26/2021 8:32,112,Grevillea robusta,Silk Oak,4,45,60,6,31,0,9,233,WILSHIRE BL,1140,3RD ST,3,Side,6,365,361521.077,3765243.213
10946755,1/26/2021 8:29,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,5,25,30,20,2221,LINCOLN BL,801,PEARL ST,1,Side,18,363,363390.5686,3764226.008
